CONTINENT_CODE,CONTINENT_NAME,COUNTRY_CODE,COUNTRY_NAME,AREA_CODE,AREA_NAME,ADMIN_LEVEL,ITEM_CODE,ITEM_NAME,YEAR,PRODUCTION,SOURCE,COMMENTS,,
AFR,All African countries,CMR,Cameroon,CMR003,Est,1,125,Cassava,2010,805357,Resakss,,,
AFR,All African countries,CMR,Cameroon,CMR004,Extreme-Nord,1,125,Cassava,2010,5257,Resakss,,,
AFR,All African countries,CMR,Cameroon,CMR005,Littoral,1,125,Cassava,2010,311123,Resakss,,,
AFR,All African countries,CMR,Cameroon,CMR006,Nord,1,125,Cassava,2010,29642,Resakss,,,
AFR,All African countries,CMR,Cameroon,CMR007,Nord-Ouest,1,125,Cassava,2010,110708,Resakss,,,
AFR,All African countries,CMR,Cameroon,CMR008,Ouest,1,125,Cassava,2010,121634,Resakss,,,
AFR,All African countries,CMR,Cameroon,CMR009,Sud,1,125,Cassava,2010,630573,Resakss,,,
AFR,All African countries,CMR,Cameroon,CMR010,Sud-Ouest,1,125,Cassava,2010,430694,Resakss,,,
AFR,All African countries,COD,"Congo,  Dem Republic of",COD001,Bandundu,1,125,Cassava,1996,3824920,AgroMapsAdm1,,,
AFR,All African countries,COD,"Congo,  Dem Republic of",COD002,Bas-Zaire,1,125,Cassava,1996,1389326,AgroMapsAdm1,,,
AFR,All African countries,COD,"Congo,  Dem Republic of",COD003,Equateur,1,125,Cassava,1996,1875329,AgroMapsAdm1,,,
AFR,All African countries,COD,"Congo,  Dem Republic of",COD004,Haut-Zaire,1,125,Cassava,1996,2826336,AgroMapsAdm1,,,
AFR,All African countries,COD,"Congo,  Dem Republic of",COD005,Kasai-Occidental,1,125,Cassava,1996,1299826,AgroMapsAdm1,,,
AFR,All African countries,COD,"Congo,  Dem Republic of",COD006,Kasai-Oriental,1,125,Cassava,1996,1445168,AgroMapsAdm1,,,
AFR,All African countries,COD,"Congo,  Dem Republic of",COD007,Kinshasa,1,125,Cassava,1996,15214,AgroMapsAdm1,,,
AFR,All African countries,COD,"Congo,  Dem Republic of",COD008,Kivu,1,125,Cassava,1996,1936250,AgroMapsAdm1,,,
AFR,All African countries,COD,"Congo,  Dem Republic of",COD009,Lake Kivu,1,125,Cassava,1996,0,AgroMapsAdm1,,,
AFR,All African countries,COD,"Congo,  Dem Republic of",COD010,Lake Mweru,1,125,Cassava,1996,0,AgroMapsAdm1,,,
AFR,All African countries,COD,"Congo,  Dem Republic of",COD011,Shaba,1,125,Cassava,1996,2274402,AgroMapsAdm1,,,
AFR,All African countries,COG,Congo,COG001,Bouenza,1,125,Cassava,1990,134170,AgroMapsAdm1,,,
AFR,All African countries,COG,Congo,COG002,Cuvette,1,125,Cassava,1990,52700,AgroMapsAdm1,,,
AFR,All African countries,COG,Congo,COG004,Lekoumou,1,125,Cassava,1990,24880,AgroMapsAdm1,,,
AFR,All African countries,COG,Congo,COG006,Niari,1,125,Cassava,1990,50000,AgroMapsAdm1,,,
AFR,All African countries,COG,Congo,COG007,Plateaux,1,125,Cassava,1990,45180,AgroMapsAdm1,,,
AFR,All African countries,COG,Congo,COG008,Pool,1,125,Cassava,1990,220070,AgroMapsAdm1,,,
AFR,All African countries,COG,Congo,COG009,Sangha,1,125,Cassava,1990,10671,AgroMapsAdm1,,,
AFR,All African countries,GHA,Ghana,GHA001,Ashanti,1,125,Cassava,2011,1900443.796,AgroMapsAdm1,,,
AFR,All African countries,GHA,Ghana,GHA002,Brong Ahafo,1,125,Cassava,2011,2883352.57,AgroMapsAdm1,,,
AFR,All African countries,GHA,Ghana,GHA003,Central,1,125,Cassava,2011,1976946.196,AgroMapsAdm1,,,
AFR,All African countries,GHA,Ghana,GHA004,Eastern,1,125,Cassava,2011,3858148.75,AgroMapsAdm1,,,
AFR,All African countries,GHA,Ghana,GHA005,Greater Accra,1,125,Cassava,2011,71863,AgroMapsAdm1,,,
AFR,All African countries,GHA,Ghana,GHA006,Lake Volta,1,125,Cassava,2011,354890.4,AgroMapsAdm1,,,
AFR,All African countries,GHA,Ghana,GHA007,Northern,1,125,Cassava,2011,1333406.4,AgroMapsAdm1,,,
AFR,All African countries,GHA,Ghana,GHA008,Upper East,1,125,Cassava,2011,,AgroMapsAdm1,,,
AFR,All African countries,GHA,Ghana,GHA009,Upper West,1,125,Cassava,2011,,AgroMapsAdm1,,,
AFR,All African countries,GHA,Ghana,GHA010,Volta,1,125,Cassava,2011,1660006.639,AgroMapsAdm1,,,
AFR,All African countries,GHA,Ghana,GHA011,Western,1,125,Cassava,2011,556700,AgroMapsAdm1,,,
AFR,All African countries,GIN,Guinea,GIN002,Conakry,1,125,Cassava,Most recent,79417,AgroMapsAdm1,,,
AFR,All African countries,GIN,Guinea,GIN004,Kankan,1,125,Cassava,Most recent,17361,AgroMapsAdm1,,,
AFR,All African countries,GIN,Guinea,GIN008,NZerekore,1,125,Cassava,Most recent,5174,AgroMapsAdm1,,,
AFR,All African countries,GMB,Gambia,GMB002,Lower River,1,125,Cassava,Most recent,,AgroMapsAdm1,,,
AFR,All African countries,GMB,Gambia,GMB003,Maccarthy Island,1,125,Cassava,Most recent,,AgroMapsAdm1,,,
AFR,All African countries,GMB,Gambia,GMB004,North Bank,1,125,Cassava,Most recent,,AgroMapsAdm1,,,
AFR,All African countries,GMB,Gambia,GMB005,Upper River,1,125,Cassava,Most recent,,AgroMapsAdm1,,,
AFR,All African countries,GMB,Gambia,GMB006,Western,1,125,Cassava,Most recent,,AgroMapsAdm1,,,
AFR,All African countries,GNB,Guinea-Bissau,GNB001,Bafata,1,125,Cassava,Most recent,12194,AgroMapsAdm1,,,
AFR,All African countries,GNB,Guinea-Bissau,GNB002,Biombo,1,125,Cassava,Most recent,12972,AgroMapsAdm1,,,
AFR,All African countries,GNB,Guinea-Bissau,GNB003,Bissau,1,125,Cassava,Most recent,,AgroMapsAdm1,,,
AFR,All African countries,GNB,Guinea-Bissau,GNB004,Bolama,1,125,Cassava,Most recent,0,AgroMapsAdm1,,,
